pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
2v3r_A_rec,10,10,0.4447624750588227,0.16686203802727456,3.9085337219803433,0.9251410307283465,0.04043380155948504,0.46957910243889356,10.0,0.01020408163265306,0.0,1.3379796836573514,264.32620000000003,0.4568050000000007,5.2,3.3,3.4
2z3h_A_rec,10,10,0.6526046905708787,0.16777767402550967,3.6362057116163355,0.9285159666706312,0.24048977737295119,1.0133316315777636,500.0,0.03187250996015936,0.1,1.7336201493359262,328.3162000000001,2.324769000000001,4.4,1.5,3.5
2zen_A_rec,10,10,0.5591951437541064,0.17064198295637745,4.141361124503347,0.9125514239836298,0.16429251077838383,0.936858221580201,205.0,0.03821656050955414,0.1,2.1871013556637484,210.3424,-0.10089099999999958,4.2,2.8,2.1
3af2_A_rec,10,10,0.3449368851105249,0.11253663173455988,5.205354680493828,0.8534880137594079,0.04072415813102626,0.48443147828809713,10.0,0.0931899641577061,0.1,0.9765174609813061,431.7576000000002,-0.2083580000000001,9.7,5.4,5.1
3b6h_A_rec,10,10,0.6834352666189785,0.1268750962281327,3.7366889805622305,0.9266061596808597,0.027335979528111898,0.4064705119312414,0.0,0.019138755980861243,0.0,0.6178841733695182,255.34440000000004,2.8427840000000018,2.6,1.1,1.7
3chc_B_rec,10,10,0.6008642166470843,0.14748482345278205,3.8215198871505414,0.9304851865593307,0.04561661476925797,0.49531466343909564,220.0,0.09248554913294797,0.0,2.36150084821578,219.59230000000002,1.2551230000000015,3.1,1.9,2.4
3daf_A_rec,10,10,0.213791008173943,0.13728883849345372,5.4455030133705415,0.8616164902571257,0.04461422855743875,0.4749656766283676,30.0,0.03667481662591687,0.2,2.9038647275323735,530.3590000000003,-0.9301969999999968,11.8,5.5,8.3
3dzh_A_rec,10,10,0.29805887512753154,0.1467676055153939,5.216287660884288,0.8957665030096525,0.03432807557752266,0.4434164528011077,30.0,0.061046511627906974,0.2,2.555905078654205,494.16920000000016,0.9207500000000024,8.7,5.4,6.3
3ej8_A_rec,10,10,0.46143340996765836,0.07231933876149052,3.247675139085993,0.9567626557493034,0.13687406422332626,0.7546008895246302,105.0,0.03007518796992481,0.0,1.2452445586853713,179.72789999999998,0.6107900000000004,3.0,2.0,1.5
3g51_A_rec,10,10,0.6000844729044957,0.13624980768674136,3.6177870875615126,0.8327156823195974,0.02756331378868458,0.4065506097339465,10.0,0.0425531914893617,0.0,1.8687738696603624,329.43210000000005,1.239054,5.8,3.5,4.1
3gs6_A_rec,10,10,0.3605823107117956,0.15988073399084488,4.871677311643833,0.8663499942835723,0.049605335337620175,0.5259872948416109,65.0,0.01680672268907563,0.0,2.5015896349529596,338.7668,-2.1025999999999985,7.5,5.5,3.7
3hy9_B_rec,10,10,0.5418497229156267,0.216662373812345,3.2425485928981272,0.8779226227410949,0.3439772923885165,1.3281504700035305,40.0,0.043795620437956206,0.0,2.437677284998283,371.79530000000005,3.216760000000002,4.7,2.0,5.9
3jyh_A_rec,10,10,0.6144820231678322,0.1294432629152616,4.590516963332743,0.9246740874319714,0.05845809653387626,0.5570968559939584,65.0,0.02,0.0,1.287627803627663,258.1784,1.2836300000000012,3.4,1.9,2.3
3kc1_A_rec,10,10,0.4808018785778964,0.2077287191454409,4.281863637577138,0.8869118329542998,0.23324131219673436,1.0495834899403031,15.0,0.04184100418410042,0.1,3.3345430685088813,336.6849000000001,0.5069400000000006,5.9,4.0,4.5
3l3n_A_rec,10,10,0.5267270372284601,0.15796628617604944,4.423677418420598,0.923895253764248,0.26685668869396767,0.9996808136763984,370.0,0.07407407407407407,0.0,1.7687145093444798,274.61860000000013,1.294710000000001,3.9,2.4,3.0
3li4_A_rec,10,10,0.555513840282919,0.12845633113609398,4.432643528010078,0.9088176208759644,0.06282337070527866,0.5744482441381079,30.0,0.004694835680751174,0.0,2.4591334630195196,284.73510000000005,0.32117000000000023,5.1,3.8,3.2
3nfb_A_rec,10,10,0.5769819617911133,0.19288443163126973,3.931720286896975,0.909229542645848,0.03922370391568756,0.4703089064668423,140.0,0.01694915254237288,0.0,2.4931581226506867,321.8872,1.432072000000001,5.0,3.2,5.9
3o96_A_rec,10,10,0.39506166739806425,0.0847106686753428,3.459541391382122,0.8874537882149246,0.011878750199677478,0.26052331396630996,0.0,0.025974025974025976,0.0,1.2167128144817752,470.23110000000025,5.390711000000005,5.8,1.4,5.3
3pdh_A_rec,10,10,0.6350258150106556,0.18832394569757882,3.398994193337843,0.9171852247118772,0.151195783921065,0.8678403124964531,150.0,0.007633587786259542,0.0,2.328665055155315,327.30820000000006,2.956938000000002,4.4,1.6,3.6
