pocket,n_molecules,clashes_per_mol,clash_rate,bond_anomalies_per_mol,bond_anomaly_rate,broken_rings_per_mol
2pqw_A_rec,10,0.0,0.0,0.2,0.02702702702702703,0.0
2rhy_A_rec,10,0.0,0.0,0.0,0.0,0.0
2rma_A_rec,8,0.0,0.0,0.125,0.008264462809917356,0.0
2v3r_A_rec,9,0.0,0.0,0.0,0.0,0.0
2z3h_A_rec,7,0.0,0.0,0.42857142857142855,0.0297029702970297,0.0
2zen_A_rec,8,0.0,0.0,0.0,0.0,0.0
3af2_A_rec,8,0.0,0.0,0.75,0.03529411764705882,0.0
3b6h_A_rec,8,0.0,0.0,0.625,0.04854368932038835,0.0
3chc_B_rec,8,0.0,0.0,0.125,0.011494252873563218,0.0
3daf_A_rec,7,0.0,0.0,1.1428571428571428,0.0392156862745098,0.14285714285714285
3dzh_A_rec,3,0.0,0.0,1.0,0.038461538461538464,0.0
3ej8_A_rec,10,0.0,0.0,0.0,0.0,0.0
3g51_A_rec,7,0.0,0.0,0.2857142857142857,0.014705882352941176,0.0
3gs6_A_rec,9,0.0,0.0,0.7777777777777778,0.059322033898305086,0.0
3hy9_B_rec,9,0.0,0.0,0.8888888888888888,0.05555555555555555,0.0
3jyh_A_rec,10,0.0,0.0,0.2,0.015503875968992248,0.0
3kc1_A_rec,10,0.0,0.0,0.1,0.007692307692307693,0.0
3l3n_A_rec,10,0.0,0.0,0.2,0.021052631578947368,0.0
3li4_A_rec,9,0.0,0.0,0.0,0.0,0.0
3nfb_A_rec,9,0.0,0.0,0.5555555555555556,0.037037037037037035,0.0
3o96_A_rec,8,0.0,0.0,1.375,0.0421455938697318,0.0
3pdh_A_rec,8,0.0,0.0,0.0,0.0,0.0
3pnm_A_rec,9,0.0,0.0,0.0,0.0,0.0
3tym_A_rec,10,0.0,0.0,1.1,0.06918238993710692,0.0
3u5y_B_rec,10,0.0,0.0,0.4,0.020942408376963352,0.0
3u9f_C_rec,8,0.0,0.0,0.625,0.03289473684210526,0.0
3v4t_A_rec,9,0.0,0.0,0.5555555555555556,0.033112582781456956,0.1111111111111111
3w83_B_rec,9,0.0,0.0,0.0,0.0,0.0
4aaw_A_rec,10,0.0,0.0,0.0,0.0,0.0
4aua_A_rec,8,0.0,0.0,0.25,0.016,0.0
4azf_A_rec,9,0.0,0.0,0.4444444444444444,0.025974025974025976,0.0
4bel_A_rec,9,0.0,0.0,0.8888888888888888,0.03305785123966942,0.0
4d7o_A_rec,8,0.0,0.0,0.875,0.043209876543209874,0.0
4f1m_A_rec,7,0.0,0.0,1.1428571428571428,0.049689440993788817,0.0
4g3d_B_rec,4,0.0,0.0,0.75,0.030303030303030304,0.0
4gvd_A_rec,7,0.0,0.0,0.14285714285714285,0.014285714285714285,0.0
4h3c_A_rec,7,0.0,0.0,0.7142857142857143,0.0364963503649635,0.0
4iiy_A_rec,5,0.0,0.0,1.2,0.047244094488188976,0.0
4iwq_A_rec,6,0.0,0.0,0.5,0.03125,0.0
4ja8_B_rec,7,0.0,0.0,0.0,0.0,0.0
4kcq_A_rec,6,0.0,0.0,0.0,0.0,0.0
4keu_A_rec,7,0.0,0.0,0.0,0.0,0.0
4lfu_A_rec,9,0.0,0.0,0.5555555555555556,0.046296296296296294,0.0
4m7t_A_rec,7,0.0,0.0,0.7142857142857143,0.029940119760479042,0.14285714285714285
4p6p_A_rec,8,0.0,0.0,0.375,0.031578947368421054,0.0
4pxz_A_rec,6,0.0,0.0,1.5,0.05844155844155844,0.0
4q8b_B_rec,8,0.0,0.0,1.25,0.09523809523809523,0.0
4qlk_A_rec,9,0.0,0.0,0.2222222222222222,0.007751937984496124,0.0
4rlu_A_rec,8,0.0,0.0,0.375,0.0196078431372549,0.0
4rn0_B_rec,10,0.0,0.0,0.2,0.019801980198019802,0.0
4rv4_A_rec,10,0.0,0.0,0.5,0.032467532467532464,0.0
4tos_A_rec,10,0.0,0.0,0.7,0.026119402985074626,0.0
4tqr_A_rec,9,0.0,0.0,0.1111111111111111,0.011111111111111112,0.1111111111111111
4u5s_A_rec,10,0.0,0.0,0.3,0.02631578947368421,0.0
4xli_B_rec,7,0.0,0.0,0.5714285714285714,0.032,0.0
4yhj_A_rec,4,0.0,0.0,0.5,0.0196078431372549,0.0
4z2g_A_rec,8,0.0,0.0,1.0,0.03137254901960784,0.0
4zfa_A_rec,9,0.0,0.0,0.0,0.0,0.0
5aeh_A_rec,7,0.0,0.0,0.8571428571428571,0.045454545454545456,0.0
5b08_A_rec,8,0.0,0.0,0.375,0.030927835051546393,0.0
5bur_A_rec,8,0.0,0.0,0.75,0.032432432432432434,0.0
5d7n_D_rec,7,0.0,0.0,0.2857142857142857,0.014184397163120567,0.0
5i0b_A_rec,8,0.0,0.0,0.125,0.007751937984496124,0.0
5l1v_A_rec,7,0.0,0.0,1.2857142857142858,0.08823529411764706,0.0
5liu_X_rec,9,0.0,0.0,0.1111111111111111,0.010416666666666666,0.0
5mgl_A_rec,7,0.0,0.0,0.0,0.0,0.0
5mma_A_rec,9,0.0,0.0,0.5555555555555556,0.05154639175257732,0.0
5ngz_A_rec,9,0.0,0.0,0.1111111111111111,0.010638297872340425,0.0
5q0k_A_rec,7,0.0,0.0,1.8571428571428572,0.07602339181286549,0.0
5tjn_A_rec,9,0.0,0.0,0.0,0.0,0.0
5w2g_A_rec,10,0.0,0.0,0.8,0.05194805194805195,0.1
