pocket,n_total,n_valid,qed_mean,qed_std,sa_mean,tanimoto_diversity,centroid_variance,mean_pairwise_centroid_distance,clashes_per_mol,bond_anomaly_rate,broken_rings_per_mol,distance_to_pocket_center,mol_mw,mol_logp,mol_hba,mol_hbd,mol_rotb
1gg5_A_rec,40,40,0.6877647123380012,0.14339913415212452,3.1319995356592636,0.8774875378651726,0.09790018206029695,0.6854625713083057,0.0,0.05701254275940707,0.0,0.0,292.991175,2.7516182500000013,3.475,1.55,1.725
1h0i_A_rec,41,41,0.37325011952015275,0.22996902908992253,4.810897363404996,0.8701396779690972,12.553719139829758,2.3719992952373157,0.0,0.01547779273216689,0.0,0.0,479.41531707317097,-0.08746195121950877,8.951219512195122,5.341463414634147,6.878048780487805
1h36_A_rec,43,43,0.5577074233567291,0.13696934871814165,3.8284870645067426,0.8588617983242193,84.81348464149634,7.597834014424131,0.0,0.013973268529769137,0.0,0.0,480.6693023255816,3.985266279069771,4.976744186046512,1.3953488372093024,5.3023255813953485
1jn2_P_rec,47,47,0.3789313326767178,0.10601554436936567,3.9362493612216722,0.8654063234757741,0.027141936036395087,0.3712680938715791,0.0,0.010825439783491205,0.0,0.0,226.71070212765957,-1.6511136170212763,5.361702127659575,4.425531914893617,3.1914893617021276
1k9t_A_rec,49,49,0.5425104480447102,0.1786750501951827,3.7671004183285564,0.9009339379351236,0.037258499801364205,0.43074774789066056,0.0,0.002512562814070352,0.0,0.0,212.8981836734694,0.5709138775510209,3.4693877551020407,2.7551020408163267,1.836734693877551
1l3l_A_rec,41,41,0.6841465805850058,0.12031956835091642,3.058131183871654,0.8739564703707468,0.058066058657750774,0.5420286904053351,0.0,0.015429122468659595,0.0,0.0,305.48319512195127,3.7272339024390257,2.658536585365854,1.0731707317073171,1.7560975609756098
1phk_A_rec,38,38,0.24784843665476766,0.07304140014558913,4.759477860229472,0.5663582821313269,0.025633077478167135,0.362288652722942,0.0,0.12630662020905922,0.02631578947368421,0.0,461.68065789473695,-1.49914,11.605263157894736,6.5,6.105263157894737
1r1h_A_rec,48,48,0.5974999220528202,0.1800956452738978,3.2622155994353346,0.8405579772834904,0.08536836052646563,0.6305247936934122,0.0,0.03230769230769231,0.0,0.0,368.7173541666668,2.5809495833333345,4.104166666666667,3.0,6.270833333333333
1rs9_A_rec,49,49,0.7151038723313283,0.17325672148100732,2.946557571873674,0.8785015692353264,0.1193960409259594,0.7548776652075703,0.0,0.020816653322658127,0.0,0.0,329.8768163265307,3.2598793877551038,3.6122448979591835,1.4285714285714286,4.6938775510204085
1umd_B_rec,42,42,0.2956130012682424,0.09243633586621361,4.719258861866818,0.7625383018093415,154.61698980774028,9.870700979898032,0.0,0.11454102355808286,0.023809523809523808,0.0,439.9542619047621,0.6706271428571431,9.047619047619047,4.833333333333333,7.976190476190476
